Computer and Mathematical Occupations,"15,930",3.1,33.8,"70,300",0.6,20.39,24.29,31.08,39.27,49.95,"42,420","50,520","64,650","81,690","103,900",,
Computer Hardware Engineers,"47,050",3,43.27,"90,010",1.1,23.2,30.04,39.68,50.1,64.34,"48,260","62,490","82,530","104,210","133,830",,
Computer Network Architects,"22,550",2,32.81,"68,230",0.8,18.59,23.72,30.65,39.18,48.29,"38,670","49,340","63,750","81,500","100,440",,
Computer Network Support Specialists,"9,500",5.6,32.56,"67,710",2,20.81,24.28,30.82,38.23,47.28,"43,280","50,510","64,110","79,530","98,330",,
Computer Numerically Controlled Tool Operators and Programmers,"8,180",2.2,41.7,"86,740",1.2,24.09,29.98,37.9,48.84,62.52,"50,100","62,350","78,830","101,600","130,050",,
Computer Numerically Controlled Tool Programmers,"108,550",1.7,50.02,"104,050",0.9,24.09,30.19,45.82,62.55,80.28,"50,100","62,800","95,310","130,090","166,980",,
"Computer Occupations, All Other","6,820",6.6,45.4,"94,430",3.9,23.37,29.72,39.18,54.52,73.03,"48,620","61,830","81,500","113,400","151,900",,
Computer Support Specialists,"1,930",16.4,67.02,"139,410",2.8,29.76,38.51,61.62,82.93,#,"61,910","80,110","128,160","172,490",#,,
Computer Systems Analysts,"20,020",4.4,72.88,"151,580",0.7,37.92,51.46,73.29,88.6,#,"78,870","107,030","152,430","184,280",#,,
"Computer, Automated Teller, and Office Machine Repairers","8,520",3.5,46.58,"96,880",1.5,23.36,31.3,45.47,57.58,72.48,"48,600","65,110","94,570","119,770","150,760",,
Concierges,"80,600",1.9,42.85,"89,130",0.7,23.12,29.59,38.19,51.51,64.8,"48,100","61,540","79,430","107,140","134,780",,
Conservation Scientists,"6,690",5.9,50.38,"104,790",1.7,27.11,37.26,48.12,62.69,78.34,"56,380","77,500","100,090","130,400","162,950",,
Construction and Building Inspectors,"76,890",1.5,39.06,"81,240",0.9,22.21,27.98,36.79,47.64,62.05,"46,200","58,200","76,530","99,090","129,070",,
Construction and Building Inspectors,"23,620",3.2,49.78,"103,550",1.4,23.5,30.07,40.23,61.98,82.93,"48,880","62,540","83,680","128,920","172,490",,
Construction and Extraction Occupations,"6,390",5.5,45.57,"94,780",2.3,24.58,31.09,40.4,51.17,64.99,"51,120","64,670","84,030","106,440","135,170",,
Construction Laborers,"19,680",2,54.43,"113,220",0.8,25.03,37.65,50.05,68.05,82.93,"52,060","78,320","104,100","141,540","172,490",,
Construction Managers,"15,640",4.5,58.09,"120,830",1.7,30.03,38.35,50.79,72.65,93.12,"62,460","79,760","105,630","151,110","193,690",,
Continuous Mining Machine Operators,"8,850",5.3,31.1,"64,690",3.7,12.67,18.67,28.72,37.77,48.65,"26,360","38,840","59,740","78,560","101,180",,
"Control and Valve Installers and Repairers, Except Mechanical Door",610,6.4,54.48,"113,320",1.9,30.65,38.27,50.63,64.94,80.92,"63,750","79,590","105,310","135,070","168,300",,
Conveyor Operators and Tenders,"58,100",2.6,47.9,"99,640",1.9,22.6,29.83,39.67,60.86,80.51,"47,010","62,040","82,510","126,590","167,460",,
Conveyor Operators and Tenders,"57,110",2.1,39.8,"82,770",0.8,23.68,29.84,37.88,48.1,60.07,"49,260","62,070","78,780","100,040","124,950",,
Cooks,"13,800",3.4,47.12,"98,010",1.4,19.12,35.53,49.47,57.81,64.04,"39,760","73,910","102,900","120,240","133,200",,
"Cooks, All Other","2,640",11.9,46.28,"96,260",1.6,29.21,31.51,44.67,54.95,65.1,"60,770","65,530","92,910","114,300","135,420",,
"Cooks, Institution and Cafeteria","38,940",1.7,39.09,"81,310",1.1,23.42,29.75,37.74,47.64,57.38,"48,720","61,880","78,500","99,090","119,340",,
"Cooks, Restaurant","6,650",8.7,32.12,"66,800",1.7,18.21,23.28,29.76,37.95,48,"37,870","48,420","61,910","78,930","99,830",,
"Cooks, Short Order","1,440",4.7,41.7,"86,740",1.3,25.68,31.13,40.97,49.07,56.91,"53,410","64,740","85,220","102,060","118,380",,
Cooling and Freezing Equipment Operators and Tenders,"2,910",5.1,34.68,"72,130",1.3,17.94,23.29,30.74,44.49,56.91,"37,310","48,440","63,940","92,540","118,380",,
Correctional Officers and Jailers,"5,650",5.7,57.9,"120,430",1.6,29.56,39.64,58.9,74.61,82.93,"61,480","82,450","122,510","155,190","172,490",,
Correspondence Clerks,"34,330",1.6,43.7,"90,900",0.7,24.15,31.83,40.59,52.78,64.06,"50,230","66,210","84,430","109,780","133,240",,
Cost Estimators,"13,560",3.9,21.56,"44,850",1,13.95,15.46,19.44,24.45,29.91,"29,010","32,160","40,430","50,860","62,200",,
Costume Attendants,"11,530",2.6,23.01,"47,870",0.9,16.21,18.1,22.4,26.57,30.25,"33,710","37,650","46,590","55,260","62,920",,
"Counselors, All Other","76,150",1.9,24.89,"51,770",0.7,14.99,18.18,23.15,29.58,37.54,"31,170","37,820","48,140","61,530","78,090",,
Counter and Rental Clerks,"57,690",1.7,26.46,"55,040",0.7,15.38,18.63,23.56,30.38,38.74,"31,980","38,740","48,990","63,180","80,570",,
Couriers and Messengers,"34,110",3.1,24.3,"50,550",1,14.45,17.89,22.78,28.78,36.93,"30,050","37,210","47,370","59,860","76,810",,
Couriers and Messengers,"9,210",6.4,28.4,"59,080",2.5,14.71,18.57,23.23,35.43,47.43,"30,590","38,620","48,310","73,690","98,650",,
Court Reporters and Simultaneous Captioners,"3,550",4.7,34.5,"71,760",2.6,18.42,22.31,29.94,40.66,62.52,"38,310","46,410","62,280","84,570","130,050",,
"Court, Municipal, and License Clerks","5,360",4,45.77,"95,200",1.1,29.08,37.89,47.76,51.09,60.87,"60,490","78,810","99,340","106,260","126,600",,
Crane and Tower Operators,"28,690",1.9,27.13,"56,430",0.9,15.02,21.54,23.9,29.8,38.05,"31,240","44,800","49,720","61,970","79,140",,
Credit Analysts,"30,440",1.6,20.87,"43,420",0.3,14.26,15.51,18.89,24.8,29.69,"29,670","32,260","39,290","51,580","61,750",,
"Credit Authorizers, Checkers, and Clerks","17,020",1.1,32.14,"66,850",0.5,18.11,22.96,29.78,38.78,49.73,"37,670","47,750","61,930","80,670","103,430",,
"Credit Authorizers, Checkers, and Clerks","62,230",2.4,26.65,"55,420",0.8,14.54,18.19,23.57,30.38,38.85,"30,240","37,830","49,030","63,180","80,810",,
Crematory Operators,"106,340",2.3,37.86,"78,740",1.1,21.17,28.6,37.29,47.43,56.98,"44,040","59,490","77,560","98,650","118,510",,
"Criminal Justice and Law Enforcement Teachers, Postsecondary","21,750",7,27.67,"57,560",2.2,14.58,18.67,24.58,35.51,43.88,"30,330","38,840","51,120","73,860","91,260",,
Curators,"296,370",0.8,30.33,"63,090",0.4,18.05,22.78,29.09,37.12,47.21,"37,550","47,390","60,510","77,210","98,190",,
Customer Service Representatives,"54,800",3.4,28.69,"59,660",1.5,17.81,20.63,23.98,36.25,46.41,"37,050","42,910","49,880","75,410","96,520",,
Customer Service Representatives,"90,310",2.3,21.51,"44,740",0.8,13.89,14.72,18.54,25.44,31.67,"28,890","30,610","38,560","52,920","65,880",,
"Cutters and Trimmers, Hand","310,880",1,25.72,"53,490",0.5,14.84,18.52,23.33,29.64,37.49,"30,870","38,520","48,520","61,660","77,980",,
